raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
"METAR PTSA 280150Z 05012KT 10SM BKN021 BKN130 BKN300 31/25 A2974 ",PTSA,2026-04-28T01:50:00.000Z,5.3520,162.9560,31,25,50,12,,10+,29.74,,,,,,,,,,,BKN,2100,BKN,13000,BKN,30000,,,MVFR,,,,,,,,,,,,METAR,3
"SPECI KELY 280150Z AUTO 20003KT 10SM FEW008 OVC015 01/01 A3000 RMK AO2 RAB37E41SNE37 P0003 ",KELY,2026-04-28T01:50:00.000Z,39.2954,-114.8466,1,1,200,3,,10+,30.00,,,TRUE,TRUE,,,,,,,FEW,800,OVC,1500,,,,,MVFR,,,,,,0.03,,,,,,SPECI,1906
"METAR KVQQ 280150Z 05006G11KT 10SM OVC018 19/15 A3016",KVQQ,2026-04-28T01:50:00.000Z,30.2035,-81.8725,19,15,50,6,11,10+,30.16,,,,,,,,,,,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,21
"METAR EKSP 280150Z 02003KT CAVOK 02/M00 Q1028",EKSP,2026-04-28T01:50:00.000Z,55.2250,9.2630,2,0,20,3,,6+,30.35,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,40
"METAR KBKB 280149Z AUTO 00000KT 10SM CLR 24/21 A2989 RMK AO2 SLP148 T02440206",KBKB,2026-04-28T01:49:00.000Z,31.0220,-92.9110,24.4,20.6,0,0,,10+,29.89,1014.8,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,74
"SPECI KLAR 280149Z AUTO 14008KT 3/4SM -SN BR FEW002 OVC006 00/00 A2995 RMK AO2 P0008",KLAR,2026-04-28T01:49:00.000Z,41.3165,-105.6729,0,0,140,8,,0.75,29.95,,,TRUE,TRUE,,,,,,-SN BR,FEW,200,OVC,600,,,,,LIFR,,,,,,0.08,,,,,,SPECI,2217
"SPECI KEYE 280149Z AUTO 14009G19KT 10SM VCTS -RA OVC060 17/15 A2972 RMK AO2 PK WND 12029/0058 LTG DSNT W-NE RAB19 TSB05E43 P0006",KEYE,2026-04-28T01:49:00.000Z,39.8248,-86.2958,17,15,140,9,19,10+,29.72,,,TRUE,TRUE,,,,,,VCTS -RA,OVC,6000,,,,,,,VFR,,,,,,0.06,,,,,,SPECI,248
"SPECI KGPT 280149Z 14010KT 10SM BKN013 24/21 A3002 RMK AO2",KGPT,2026-04-28T01:49:00.000Z,30.4121,-89.0809,24,21,140,10,,10+,30.02,,,,TRUE,,,,,,,BKN,1300,,,,,,,MVFR,,,,,,,,,,,,SPECI,5
"SPECI KESC 280149Z AUTO 17004KT 10SM -RA BKN014 BKN019 OVC085 09/09 A2954 RMK AO2 P0010",KESC,2026-04-28T01:49:00.000Z,45.7225,-87.0893,9,9,170,4,,10+,29.54,,,TRUE,TRUE,,,,,,-RA,BKN,1400,BKN,1900,OVC,8500,,,MVFR,,,,,,0.1,,,,,,SPECI,180
"SPECI KBEH 280149Z AUTO 25008KT 10SM -RA BKN095 BKN110 14/13 A2972 RMK AO2 WSHFT 0129 LTG DSNT N RAB12 PRESRR P0003 $",KBEH,2026-04-28T01:49:00.000Z,42.1290,-86.4152,14,13,250,8,,10+,29.72,,,TRUE,TRUE,TRUE,,,,,-RA,BKN,9500,BKN,11000,,,,,VFR,,,,,,0.03,,,,,,SPECI,196
"SPECI KOKK 280148Z AUTO 15020G27KT 10SM SCT075 BKN095 BKN120 18/14 A2969 RMK AO2 PK WND 16027/0147 LTG DSNT ALQDS TSB27E42 $",KOKK,2026-04-28T01:48:00.000Z,40.5304,-86.0550,18,14,150,20,27,10+,29.69,,,TRUE,TRUE,TRUE,,,,,,SCT,7500,BKN,9500,BKN,12000,,,VFR,,,,,,,,,,,,SPECI,251
"SPECI PAVA 280148Z AUTO 12014KT 10SM OVC007 03/01 A2949 RMK AO2 CIG 005V009 $",PAVA,2026-04-28T01:48:00.000Z,61.5370,-165.6040,3,1,120,14,,10+,29.49,,,TRUE,TRUE,TRUE,,,,,,OVC,700,,,,,,,IFR,,,,,,,,,,,,SPECI,14
"METAR MMCV 280148Z 00000KT 5SM SCT080 BKN200 32/24 A2977 RMK 8/038 HZY ISOL SC",MMCV,2026-04-28T01:48:00.000Z,23.7060,-98.9590,32,24,0,0,,5,29.77,,,,,,,,,,,SCT,8000,BKN,20000,,,,,MVFR,,,,,,,,,,,,METAR,230
"SPECI KMGY 280148Z AUTO 15009KT 4SM +TSRA BR BKN080 OVC100 17/16 A2993 RMK AO2 LTG DSNT ALQDS TSB42 P0016",KMGY,2026-04-28T01:48:00.000Z,39.5918,-84.2263,17,16,150,9,,4,29.93,,,TRUE,TRUE,,,,,,+TSRA BR,BKN,8000,OVC,10000,,,,,MVFR,,,,,,0.16,,,,,,SPECI,290
"METAR KJDN 280148Z AUTO 19004KT 04/M04 A3001 RMK AO1 SLP189 T00441039",KJDN,2026-04-28T01:48:00.000Z,47.3259,-106.9488,4.4,-3.9,190,4,,,30.01,1018.9,,TRUE,TRUE,,,,,,,,,,,,,,,null,,,,,,,,,,,,METAR,802
"SPECI KSRC 280148Z AUTO 19011KT 9SM BKN028 OVC036 26/23 A2980 RMK AO2 $",KSRC,2026-04-28T01:48:00.000Z,35.2134,-91.7393,26,23,190,11,,9,29.80,,,TRUE,TRUE,TRUE,,,,,,BKN,2800,OVC,3600,,,,,MVFR,,,,,,,,,,,,SPECI,80
"SPECI KSTJ 280148Z AUTO 32016G22KT 10SM BKN027 OVC033 14/09 A2986 RMK AO2 $",KSTJ,2026-04-28T01:48:00.000Z,39.7683,-94.9095,14,9,320,16,22,10+,29.86,,,TRUE,TRUE,TRUE,,,,,,BKN,2700,OVC,3300,,,,,MVFR,,,,,,,,,,,,SPECI,247
"METAR KASG 280148Z 29005KT 10SM CLR 24/17 A2983",KASG,2026-04-28T01:48:00.000Z,36.1802,-94.1176,24,17,290,5,,10+,29.83,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,410
"SPECI PAPB 280148Z AUTO 16020G25KT 10SM BKN020 BKN033 04/02 A2901 RMK AO2 PK WND 18028/0058 RAB16E26SNB13E16 P0000 TSNO $",PAPB,2026-04-28T01:48:00.000Z,56.5760,-169.6630,4,2,160,20,25,10+,29.01,,,TRUE,TRUE,TRUE,,TRUE,,,,BKN,2000,BKN,3300,,,,,MVFR,,,,,,0.005,,,,,,SPECI,33
"SPECI KDAY 280148Z 17015G26KT 7SM -TSRA SCT037CB BKN075 OVC100 17/15 A2991 RMK AO2 PK WND 14026/0120 WSHFT 0052 TSB03E19B42 OCNL LTG S-SW TS S-SW MOV E P0011 T01720150",KDAY,2026-04-28T01:48:00.000Z,39.9064,-84.2185,17.2,15,170,15,26,7,29.91,,,,TRUE,,,,,,-TSRA,SCT,3700,BKN,7500,OVC,10000,,,VFR,,,,,,0.11,,,,,,SPECI,303
"METAR KRHV 280147Z 34011G18KT 10SM FEW050 17/08 A3005",KRHV,2026-04-28T01:47:00.000Z,37.3331,-121.8200,17,8,340,11,18,10+,30.05,,,,,,,,,,,FEW,5000,,,,,,,VFR,,,,,,,,,,,,METAR,37
"METAR KPWK 280147Z VRB04KT 10SM BKN014 OVC095 17/16 A2956 RMK AO2 LTG DSNT NE-SE RAE47 SLP007 P0005 T01720156",KPWK,2026-04-28T01:47:00.000Z,42.1208,-87.9048,17.2,15.6,0,4,,10+,29.56,1000.7,,,TRUE,,,,,,,BKN,1400,OVC,9500,,,,,MVFR,,,,,,0.05,,,,,,METAR,194
"METAR KAQV 280147Z AUTO VRB04KT 8SM CLR 25/21 A2991 RMK AO2 SLP123 T02500206",KAQV,2026-04-28T01:47:00.000Z,31.3960,-93.2970,25,20.6,0,4,,8,29.91,1012.3,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,123
"SPECI KSQI 280147Z AUTO 00000KT 10SM VCTS CLR 17/17 A2959 RMK AO2 LTG DSNT N AND NW TSB41 $",KSQI,2026-04-28T01:47:00.000Z,41.7432,-89.6655,17,17,0,0,,10+,29.59,,,TRUE,TRUE,TRUE,,,,,VCTS,,,,,,,,,VFR,,,,,,,,,,,,SPECI,196
"SPECI KSGH 280147Z AUTO 14014KT 7SM TSRA OVC100 16/16 A2993 RMK AO2 LTG DSNT S-W TSB41 P0015",KSGH,2026-04-28T01:47:00.000Z,39.8358,-83.8443,16,16,140,14,,7,29.93,,,TRUE,TRUE,,,,,,TSRA,OVC,10000,,,,,,,VFR,,,,,,0.15,,,,,,SPECI,318
"SPECI KORD 280147Z 27013G23KT 10SM FEW012 SCT055 OVC150 17/15 A2955 RMK AO2 RAE37 TSE43 OCNL LTGIC DSNT NE-E CB DSNT NE-E MOV E P0007 $",KORD,2026-04-28T01:47:00.000Z,41.9602,-87.9316,17,15,270,13,23,10+,29.55,,,,TRUE,TRUE,,,,,,FEW,1200,SCT,5500,OVC,15000,,,VFR,,,,,,0.07,,,,,,SPECI,202
"METAR KCFO 280147Z 09008KT 10SM -RA BKN039 09/04 A2995",KCFO,2026-04-28T01:47:00.000Z,39.7948,-104.5405,9,4,90,8,,10+,29.95,,,,,,,,,,-RA,BKN,3900,,,,,,,VFR,,,,,,,,,,,,METAR,1672
"METAR KSQL 280147Z 27015G20KT 10SM CLR 15/08 A3007",KSQL,2026-04-28T01:47:00.000Z,37.5119,-122.2483,15,8,270,15,20,10+,30.07,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1
"METAR KGEU 280147Z 22013KT 10SM CLR 25/M04 A2982",KGEU,2026-04-28T01:47:00.000Z,33.5280,-112.2930,25,-4,220,13,,10+,29.82,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,319
"METAR KGYR 280147Z 26012G16KT 10SM SKC 25/M02 A2985",KGYR,2026-04-28T01:47:00.000Z,33.4280,-112.3680,25,-2,260,12,16,10+,29.85,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,292
"SPECI KFSD 280147Z 34016G26KT 10SM BKN017 OVC025 07/04 A2985 RMK AO2 PK WND 35030/0133 DZE17 P0000 T00670039",KFSD,2026-04-28T01:47:00.000Z,43.5775,-96.7539,6.7,3.9,340,16,26,10+,29.85,,,,TRUE,,,,,,,BKN,1700,OVC,2500,,,,,MVFR,,,,,,0.005,,,,,,SPECI,433
"METAR KSAW 280147Z 14012KT 10SM OVC016 10/09 A2951 RMK LTG DSNT SW",KSAW,2026-04-28T01:47:00.000Z,46.3410,-87.3950,10,9,140,12,,10+,29.51,,,,,,,,,,,OVC,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,359
"METAR KSEE 280147Z 26012KT 10SM SKC 17/06 A3001",KSEE,2026-04-28T01:47:00.000Z,32.8273,-116.9737,17,6,260,12,,10+,30.01,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,113
"SPECI KNQI 280147Z 14009KT 10SM BKN012 BKN029 BKN250 26/24 A2980 RMK AO2 T02610244 $ ",KNQI,2026-04-28T01:47:00.000Z,27.5070,-97.8100,26.1,24.4,140,9,,10+,29.80,,,,TRUE,TRUE,,,,,,BKN,1200,BKN,2900,BKN,25000,,,MVFR,,,,,,,,,,,,SPECI,15
"METAR KAEG 280147Z 12004KT 10SM CLR 17/M13 A2989",KAEG,2026-04-28T01:47:00.000Z,35.1500,-106.7929,17,-13,120,4,,10+,29.89,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1771
"METAR KLBE 280147Z 12014G28KT 10SM CLR 17/08 A3007",KLBE,2026-04-28T01:47:00.000Z,40.2767,-79.4039,17,8,120,14,28,10+,30.07,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,345
"METAR KCHD 280147Z 28012KT 10SM CLR 26/M03 A2984",KCHD,2026-04-28T01:47:00.000Z,33.2669,-111.8086,26,-3,280,12,,10+,29.84,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,378
"SPECI KSMP 280147Z AUTO 10SM BKN013 OVC019 04/02 A3001 RMK AO2 T00390022",KSMP,2026-04-28T01:47:00.000Z,47.2764,-121.3383,3.9,2.2,,,,10+,30.01,,,TRUE,TRUE,,,,,,,BKN,1300,OVC,1900,,,,,MVFR,,,,,,,,,,,,SPECI,1206
"METAR KEVB 280147Z 03013G20KT 10SM SCT015 SCT030 22/21 A3011 RMK LAST",KEVB,2026-04-28T01:47:00.000Z,29.0568,-80.9491,22,21,30,13,20,10+,30.11,,,,,,,,,,,SCT,1500,SCT,3000,,,,,VFR,,,,,,,,,,,,METAR,2
"SPECI UHMA 280146Z 03008MPS 1400 R02/1900U SHSN DRSN VV014 M05/M07 Q1007 R02/990323 TEMPO 3100 -SN DRSN BKN013 RMK MID 05008MPS END R02/04009MPS QFE752/1002",UHMA,2026-04-28T01:46:00.000Z,64.7330,177.7390,-5,-7,30,16,,0.87,29.73,,,,,,,,,,DRSN SHSN,OVX,1400,,,,,,,LIFR,,,,,,,,,,,14,SPECI,53
"SPECI KLIC 280146Z AUTO 05013KT 10SM VCTS -RA SCT039 OVC055 09/02 A2993 RMK AO2 LTG DSNT SW RAB16 P0000 T00890022",KLIC,2026-04-28T01:46:00.000Z,39.2733,-103.6674,8.9,2.2,50,13,,10+,29.93,,,TRUE,TRUE,,,,,,VCTS -RA,SCT,3900,OVC,5500,,,,,VFR,,,,,,0.005,,,,,,SPECI,1635
"SPECI KMSN 280146Z 19007KT 10SM TS BKN034CB BKN065 BKN140 BKN250 19/16 A2950 RMK AO2 TSB38 CONS LTGCCIC SW-W AND DSNT NW TS SW-W MOV NE CB DSNT NW T01940161",KMSN,2026-04-28T01:46:00.000Z,43.1407,-89.3452,19.4,16.1,190,7,,10+,29.50,,,,TRUE,,,,,,TS,BKN,3400,BKN,6500,BKN,14000,BKN,25000,VFR,,,,,,,,,,,,SPECI,262
"SPECI KMVN 280146Z AUTO 20013KT 10SM VCTS OVC034 24/21 A2970 RMK AO2 LTG DSNT W-N TSB40 $",KMVN,2026-04-28T01:46:00.000Z,38.3284,-88.8530,24,21,200,13,,10+,29.70,,,TRUE,TRUE,TRUE,,,,,VCTS,OVC,3400,,,,,,,VFR,,,,,,,,,,,,SPECI,145
"SPECI KMFI 280146Z AUTO 15008KT 4SM -RA BR BKN006 BKN012 OVC070 13/12 A2945 RMK AO2 LTG DSNT S RAB0056 CIG 004V007 P0006 T01280122",KMFI,2026-04-28T01:46:00.000Z,44.6379,-90.1875,12.8,12.2,150,8,,4,29.45,,,TRUE,TRUE,,,,,,-RA BR,BKN,600,BKN,1200,OVC,7000,,,IFR,,,,,,0.06,,,,,,SPECI,383
"SPECI KIWD 280146Z AUTO 22005KT 8SM -RA SCT014 BKN025 OVC047 12/11 A2941 RMK AO2 P0001",KIWD,2026-04-28T01:46:00.000Z,46.5321,-90.1260,12,11,220,5,,8,29.41,,,TRUE,TRUE,,,,,,-RA,SCT,1400,BKN,2500,OVC,4700,,,MVFR,,,,,,0.01,,,,,,SPECI,373
"SPECI KHSI 280146Z AUTO 34014KT 10SM OVC028 08/03 A2998 RMK AO2 T00780028",KHSI,2026-04-28T01:46:00.000Z,40.6002,-98.4264,7.8,2.8,340,14,,10+,29.98,,,TRUE,TRUE,,,,,,,OVC,2800,,,,,,,MVFR,,,,,,,,,,,,SPECI,592
"METAR KRYN 280145Z 24010KT 10SM CLR 26/M13 A2986",KRYN,2026-04-28T01:45:00.000Z,32.1418,-111.1767,26,-13,240,10,,10+,29.86,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,731
"METAR KCGF 280145Z 14014G24KT 10SM CLR 20/04 A2987",KCGF,2026-04-28T01:45:00.000Z,41.5660,-81.4827,20,4,140,14,24,10+,29.87,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,265
"METAR KBBG 280145Z 30005KT 10SM FEW050 SCT060 BKN100 21/17 A2980",KBBG,2026-04-28T01:45:00.000Z,36.5259,-93.1969,21,17,300,5,,10+,29.80,,,,,,,,,,,FEW,5000,SCT,6000,BKN,10000,,,VFR,,,,,,,,,,,,METAR,403
