raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
"METAR KSNT 280151Z AUTO VRB03KT 03/M11 A2994 RMK AO1 SLP118 T00331106 ",KSNT,2026-04-28T01:51:00.000Z,44.1708,-114.9269,3.3,-10.6,0,3,,,29.94,1011.8,,TRUE,TRUE,,,,,,,,,,,,,,,null,,,,,,,,,,,,METAR,1980
"METAR KHTS 280151Z 10005KT 10SM CLR 23/11 A2993 RMK AO2 SLP129 T02280106 ",KHTS,2026-04-28T01:51:00.000Z,38.3653,-82.5548,22.8,10.6,100,5,,10+,29.93,1012.9,,,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,252
"METAR KSUA 280150Z 04012KT 10SM FEW024 24/20 A3004",KSUA,2026-04-28T01:50:00.000Z,27.1815,-80.2252,24,20,40,12,,10+,30.04,,,,,,,,,,,FEW,2400,,,,,,,VFR,,,,,,,,,,,,METAR,4
"METAR EEEI 280150Z AUTO 34010KT 9999 NCD 02/M05 Q1017",EEEI,2026-04-28T01:50:00.000Z,59.2600,24.2090,2,-5,340,10,,6+,30.03,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,19
"METAR EEKA 280150Z AUTO 34013KT 9999 NCD 03/M02 Q1019",EEKA,2026-04-28T01:50:00.000Z,58.9910,22.8310,3,-2,340,13,,6+,30.09,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,6
"METAR LATI 280150Z 16002KT CAVOK 11/07 Q1016 NOSIG",LATI,2026-04-28T01:50:00.000Z,41.4190,19.7160,11,7,160,2,,6+,30.00,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,32
"METAR EYPA 280150Z VRB06G16KT CAVOK 05/00 Q1022",EYPA,2026-04-28T01:50:00.000Z,55.9730,21.0920,5,0,0,6,16,6+,30.18,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,15
"METAR EYVI 280150Z 31008KT CAVOK M00/M04 Q1017 NOSIG",EYVI,2026-04-28T01:50:00.000Z,54.6340,25.2860,0,-4,310,8,,6+,30.03,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,180
"METAR EETN 280150Z 34011KT CAVOK 03/M04 Q1016",EETN,2026-04-28T01:50:00.000Z,59.4130,24.8010,3,-4,340,11,,6+,30.00,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,41
"METAR EVGA 280150Z AUTO 31007KT CAVOK 02/M01 Q1016",EVGA,2026-04-28T01:50:00.000Z,56.7780,24.8540,2,-1,310,7,,6+,30.00,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,61
"METAR EYKA 280150Z 31005KT 280V340 CAVOK M00/M03 Q1019",EYKA,2026-04-28T01:50:00.000Z,54.9620,24.0690,0,-3,310,5,,6+,30.09,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,68
"METAR EEKE 280150Z AUTO 33008KT 9999 NCD 03/M03 Q1020",EEKE,2026-04-28T01:50:00.000Z,58.2300,22.5090,3,-3,330,8,,6+,30.12,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,4
"METAR EETU 280150Z AUTO 30007KT 9999 NCD M00/M03 Q1013",EETU,2026-04-28T01:50:00.000Z,58.3070,26.6910,0,-3,300,7,,6+,29.91,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,67
"METAR EVRA 280150Z 32009KT 290V350 CAVOK 03/M01 Q1018 NOSIG",EVRA,2026-04-28T01:50:00.000Z,56.9240,23.9680,3,-1,320,9,,6+,30.06,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,7
"METAR EVLA 280150Z AUTO 33007KT 290V360 9999 NCD 04/M00 Q1022",EVLA,2026-04-28T01:50:00.000Z,56.5170,21.0970,4,0,330,7,,6+,30.18,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,5
"METAR EVVA 280150Z AUTO 34013KT CAVOK 04/M00 Q1021",EVVA,2026-04-28T01:50:00.000Z,57.3610,21.5450,4,0,340,13,,6+,30.15,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1
"METAR EEPU 280150Z AUTO 32007KT 290V350 9999 NCD 01/M04 Q1017",EEPU,2026-04-28T01:50:00.000Z,58.4190,24.4730,1,-4,320,7,,6+,30.03,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,13
"METAR EFHK 280150Z 31011KT CAVOK 00/M06 Q1016 NOSIG",EFHK,2026-04-28T01:50:00.000Z,60.3270,24.9570,0,-6,310,11,,6+,30.00,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,56
"METAR EFTP 280150Z AUTO 34007KT 310V020 CAVOK M00/M06 Q1018",EFTP,2026-04-28T01:50:00.000Z,61.4190,23.6160,0,-6,340,7,,6+,30.06,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,111
"METAR EFTU 280150Z AUTO 34006KT 310V040 CAVOK 01/M07 Q1020",EFTU,2026-04-28T01:50:00.000Z,60.5140,22.2630,1,-7,340,6,,6+,30.12,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,47
"METAR EFVA 280150Z AUTO 35007KT CAVOK M01/M05 Q1023",EFVA,2026-04-28T01:50:00.000Z,63.0510,21.7620,-1,-5,350,7,,6+,30.21,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,4
"METAR EFOU 280150Z AUTO 36011KT CAVOK M00/M06 Q1020",EFOU,2026-04-28T01:50:00.000Z,64.9300,25.3550,0,-6,360,11,,6+,30.12,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,15
"METAR LWSK 280150Z VRB02KT CAVOK 06/03 Q1019 NOSIG",LWSK,2026-04-28T01:50:00.000Z,41.9520,21.6270,6,3,0,2,,6+,30.09,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,232
"METAR EFRO 280150Z AUTO 34010KT 300V010 CAVOK M03/M07 Q1020",EFRO,2026-04-28T01:50:00.000Z,66.5620,25.8290,-3,-7,340,10,,6+,30.12,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,201
"METAR EFMA 280150Z AUTO 34004KT CAVOK 01/M01 Q1023",EFMA,2026-04-28T01:50:00.000Z,60.1250,19.9030,1,-1,340,4,,6+,30.21,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,6
"METAR EFIV 280150Z AUTO 33009KT 300V360 9999 -SHSN NSC M02/M06 Q1021",EFIV,2026-04-28T01:50:00.000Z,68.6070,27.4050,-2,-6,330,9,,6+,30.15,,,TRUE,,,,,,,-SHSN,,,,,,,,,VFR,,,,,,,,,,,,METAR,145
"METAR EKKA 280150Z AUTO 00000KT 9999 NCD M00/M04 Q1029",EKKA,2026-04-28T01:50:00.000Z,56.2930,9.1140,0,-4,0,0,,6+,30.38,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,50
"METAR PGRO 280150Z 08015G18KT 7SM BKN014 28/25 A2991",PGRO,2026-04-28T01:50:00.000Z,14.1720,145.2400,28,25,80,15,18,7,29.91,,,,,,,,,,,BKN,1400,,,,,,,MVFR,,,,,,,,,,,,METAR,181
"METAR LLER 280150Z AUTO 35009KT CAVOK 19/10 Q1012",LLER,2026-04-28T01:50:00.000Z,29.7220,35.0120,19,10,350,9,,6+,29.88,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,88
"METAR KTRK 280150Z 04005KT 10SM SCT035 BKN042 OVC065 06/00 A3003",KTRK,2026-04-28T01:50:00.000Z,39.3154,-120.1371,6,0,40,5,,10+,30.03,,,,,,,,,,,SCT,3500,BKN,4200,OVC,6500,,,VFR,,,,,,,,,,,,METAR,1800
"METAR PTRO 280150Z 05008G17KT 13SM SCT016 BKN130 BKN320 31/23 A2982 ",PTRO,2026-04-28T01:50:00.000Z,7.3670,134.5440,31,23,50,8,17,13,29.82,,,,,,,,,,,SCT,1600,BKN,13000,BKN,32000,,,VFR,,,,,,,,,,,,METAR,30
"METAR EKVG 280150Z AUTO 21012KT 6000 OVC002/// 08/07 Q1027 RMK OVC004/// WIND SKEID 21016KT",EKVG,2026-04-28T01:50:00.000Z,62.0650,-7.2820,8,7,210,12,,3.73,30.32,,,TRUE,,,,,,,,OVC,200,,,,,,,LIFR,,,-16,,,,,,,,,METAR,89
"METAR KRYY 280150Z 12010KT 10SM CLR 20/11 A3013 RMK AO2 SLP932 T02000111 $",KRYY,2026-04-28T01:50:00.000Z,34.0146,-84.5964,20,11.1,120,10,,10+,30.13,993.2,,,TRUE,TRUE,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,306
"METAR KFHM 280150Z 09001KT 16/07 ",KFHM,2026-04-28T01:50:00.000Z,34.0677,-118.2417,16,7,90,1,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,METAR,126
"METAR EYSA 280150Z 29012KT CAVOK M00/M03 Q1019 NOSIG",EYSA,2026-04-28T01:50:00.000Z,55.8940,23.3950,0,-3,290,12,,6+,30.09,,,,,,TRUE,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,135
"METAR LLBG 280150Z 15005KT 9999 SCT016 17/14 Q1013 NOSIG",LLBG,2026-04-28T01:50:00.000Z,32.0110,34.8870,17,14,150,5,,6+,29.91,,,,,,TRUE,,,,,SCT,1600,,,,,,,VFR,,,,,,,,,,,,METAR,35
"SPECI UUBW 280150Z 26010G16MPS 2900 -SN SCT009 OVC022 01/M01 Q0995 R30/250350 NOSIG RMK QFE736",UUBW,2026-04-28T01:50:00.000Z,55.5530,38.1500,1,-1,260,19,31,1.8,29.38,,,,,,TRUE,,,,-SN,SCT,900,OVC,2200,,,,,IFR,,,,,,,,,,,,SPECI,111
"METAR ETNG 280150Z VRB02KT CAVOK 08/02 Q1020",ETNG,2026-04-28T01:50:00.000Z,50.9640,6.0320,8,2,0,2,,6+,30.12,,,,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,76
